13 Jul 2024 - 09:49:13.446 [main] INFO  org.example.FaysMarketApplication - Starting FaysMarketApplication using Java 17.0.10 with PID 6420 (D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Sppring\FaysMarket\target\classes started by Hp victus in D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Sppring\FaysMarket)
13 Jul 2024 - 09:49:13.465 [main] INFO  org.example.FaysMarketApplication - The following 1 profile is active: "prod"
13 Jul 2024 - 09:49:14.544 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
13 Jul 2024 - 09:49:14.612 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 59 ms. Found 3 JPA repository interfaces.
13 Jul 2024 - 09:49:15.647 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
13 Jul 2024 - 09:49:15.667 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13 Jul 2024 - 09:49:15.669 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
13 Jul 2024 - 09:49:15.808 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13 Jul 2024 - 09:49:15.810 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2297 ms
13 Jul 2024 - 09:49:16.062 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
13 Jul 2024 - 09:49:16.170 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
13 Jul 2024 - 09:49:16.238 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
13 Jul 2024 - 09:49:16.646 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
13 Jul 2024 - 09:49:16.672 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
13 Jul 2024 - 09:49:16.971 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@4b50c21
13 Jul 2024 - 09:49:16.973 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
13 Jul 2024 - 09:49:18.150 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
13 Jul 2024 - 09:49:18.277 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
13 Jul 2024 - 09:49:18.715 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
13 Jul 2024 - 09:49:19.545 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
13 Jul 2024 - 09:49:19.589 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
