07 Sep 2024 - 18:52:28.936 [main] INFO  org.example.FaysMarketApplication - Starting FaysMarketApplication using Java 17.0.10 with PID 428 (D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Sppring\FaysMarket\target\classes started by Hp victus in D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Sppring\FaysMarket)
07 Sep 2024 - 18:52:28.973 [main] INFO  org.example.FaysMarketApplication - The following 1 profile is active: "prod"
07 Sep 2024 - 18:52:29.832 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
07 Sep 2024 - 18:52:29.904 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 61 ms. Found 3 JPA repository interfaces.
07 Sep 2024 - 18:52:30.395 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
07 Sep 2024 - 18:52:30.409 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
07 Sep 2024 - 18:52:30.409 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
07 Sep 2024 - 18:52:30.473 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
07 Sep 2024 - 18:52:30.473 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1462 ms
07 Sep 2024 - 18:52:30.583 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
07 Sep 2024 - 18:52:30.670 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
07 Sep 2024 - 18:52:30.718 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
07 Sep 2024 - 18:52:31.058 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
07 Sep 2024 - 18:52:31.091 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
