16 Jul 2024 - 10:46:33.088 [main] INFO  org.example.FaysMarketApplication - Starting FaysMarketApplication using Java 17.0.10 with PID 2328 (D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Sppring\FaysMarket\target\classes started by Hp victus in D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Sppring\FaysMarket)
16 Jul 2024 - 10:46:33.107 [main] INFO  org.example.FaysMarketApplication - The following 1 profile is active: "prod"
16 Jul 2024 - 10:46:34.150 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16 Jul 2024 - 10:46:34.222 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 65 ms. Found 3 JPA repository interfaces.
16 Jul 2024 - 10:46:34.846 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
16 Jul 2024 - 10:46:34.856 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
16 Jul 2024 - 10:46:34.857 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
16 Jul 2024 - 10:46:34.928 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16 Jul 2024 - 10:46:34.928 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1777 ms
16 Jul 2024 - 10:46:35.054 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16 Jul 2024 - 10:46:35.115 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
16 Jul 2024 - 10:46:35.150 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
16 Jul 2024 - 10:46:35.455 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
16 Jul 2024 - 10:46:35.482 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
16 Jul 2024 - 10:46:35.995 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@6106dfb6
16 Jul 2024 - 10:46:35.996 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
16 Jul 2024 - 10:46:37.165 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
16 Jul 2024 - 10:46:37.334 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
16 Jul 2024 - 10:46:37.596 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
16 Jul 2024 - 10:46:38.302 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
16 Jul 2024 - 10:46:38.346 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
16 Jul 2024 - 10:46:38.346 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
16 Jul 2024 - 10:46:39.125 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9090 (http) with context path '/'
16 Jul 2024 - 10:46:39.138 [main] INFO  org.example.FaysMarketApplication - Started FaysMarketApplication in 6.518 seconds (process running for 7.172)
16 Jul 2024 - 10:46:39.358 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://45.130.148.130:5432/fays_marketdb (PostgreSQL 12.19)
16 Jul 2024 - 10:46:39.466 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.061s)
16 Jul 2024 - 10:46:39.520 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 2
16 Jul 2024 - 10:46:39.527 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
